Player,Nation,Pos,Age,90s,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,90s,Gls,Ast,xG,xA
Jordan Pickford,eng ENG,GK,28-035,28,1,0,0,6,0,0,53.7,100,98.2,38.5,842,977,15,0,0,28,28,"2,520",28,0,0,0,0.1
Michael Keane,eng ENG,DF,29-090,26.2,27,12,2,105,69,13,78,85.7,85.1,63.6,200,701,611,51,21,27,27,"2,359",26.2,2,2,0.9,0.6
Séamus Coleman,ie IRL,DF,33-182,22.6,33,16,11,122,105,41,73.5,87.6,73,47.7,88,422,586,347,37,23,23,"2,033",22.6,1,0,1,1
Allan,br BRA,MF,31-093,22.5,29,39,5,233,302,56,79,86.3,84.1,63.4,65,308,731,197,11,24,23,"2,024",22.5,0,2,0.2,0.9
Abdoulaye Doucouré,ml MLI,MF,29-100,21.8,26,27,2,186,226,83,80.1,85.9,84.2,66.7,56,269,595,294,36,23,22,"1,961",21.8,2,4,2,1.5
Ben Godfrey,eng ENG,DF,24-086,21.5,29,18,5,128,105,22,76.7,84.2,80.6,55.9,139,471,450,164,28,22,22,"1,939",21.5,0,0,1.1,0.7
Demarai Gray,eng ENG,"MF,FW",25-287,20.2,7,10,5,53,103,83,71.3,84.5,79.2,48.9,10,74,346,527,73,26,22,"1,820",20.2,5,2,3.3,2.8
Richarlison,br BRA,"FW,MF",24-336,21.2,11,13,8,63,171,201,63.8,73.8,73,44.7,32,110,305,420,110,23,21,"1,905",21.2,6,4,6.5,2.1
Anthony Gordon,eng ENG,"MF,FW",21-046,18.7,23,21,7,110,201,120,66.2,79,73,39.4,18,129,352,460,62,27,18,"1,680",18.7,4,2,2.8,2
Andros Townsend,eng ENG,MF,30-269,16.2,15,9,5,85,128,89,70.2,85.3,78.9,38.5,15,130,302,348,30,21,17,"1,455",16.2,3,2,2.3,2.4
Mason Holgate,eng ENG,"DF,MF",25-171,16.7,22,9,0,96,60,13,71.7,82.4,78.9,54.9,136,456,404,39,7,18,16,"1,504",16.7,1,0,0.6,0
Alex Iwobi,ng NGA,"MF,FW",25-343,14.6,10,10,7,102,140,92,78.6,89,79.9,56.7,15,106,273,319,56,20,14,"1,315",14.6,2,1,1.5,1.7
Lucas Digne,fr FRA,DF,28-265,13,26,5,4,80,50,31,71.8,83.6,78.7,40.4,52,273,318,284,15,13,13,"1,170",13,0,0,0.4,1.7
Dominic Calvert-Lewin,eng ENG,FW,25-026,11.1,2,3,6,9,71,74,64.5,70,55.8,66.7,12,35,157,171,46,13,12,999,11.1,3,1,6.1,0.8
Jonjoe Kenny,eng ENG,DF,25-027,9.8,7,8,0,56,55,11,75.1,91.9,74.4,52.1,31,145,254,140,10,11,10,883,9.8,0,1,0.3,0.5
Salomón Rondón,ve VEN,FW,32-207,8,0,2,3,10,63,67,67.8,75.5,55.8,55.6,13,25,113,124,44,15,8,719,8,1,0,2.1,0.6
Yerry Mina,co COL,DF,27-200,7.2,14,0,0,41,15,3,81.9,87.2,84.7,75.4,76,206,148,19,11,10,8,649,7.2,0,0,0.3,0
André Gomes,pt POR,MF,28-255,5.6,6,5,4,57,76,31,76.2,83.8,85.7,53.5,10,60,188,102,8,12,5,503,5.6,0,1,0.6,0.2
Vitaliy Mykolenko,ua UKR,DF,22-317,5,7,7,1,36,25,11,74.6,89.7,69.3,38.5,21,86,118,98,6,6,5,450,5,0,0,0,0.5
Donny van de Beek,nl NED,MF,24-358,4.8,6,6,1,23,47,18,84,88.4,90.6,45.5,9,53,163,81,7,6,5,429,4.8,0,0,0.1,0.1
Fabian Delph,eng ENG,MF,32-141,3.7,5,8,0,19,47,7,83.3,93.8,83.3,72.7,17,69,119,27,0,7,4,332,3.7,0,0,0,0
Jarrad Branthwaite,eng ENG,DF,19-288,3.1,3,0,0,20,7,0,75.3,88.9,80.6,40,18,55,61,7,3,4,2,281,3.1,1,0,0.4,0
Asmir Begović,ba BIH,GK,34-295,2,0,0,0,0,0,0,38.2,100,100,30.6,58,60,0,0,0,2,2,180,2,0,0,0,0
Tom Davies,eng ENG,MF,23-285,1.8,1,2,1,15,16,9,78,95.5,82.6,50,2,13,44,31,8,5,1,158,1.8,1,0,0.9,0
Jean-Philippe Gbamin,ci CIV,MF,26-198,0.7,1,1,0,8,3,3,76.2,85.7,60,50,1,8,22,1,0,3,1,67,0.7,0,0,0,0
Ellis Simms,eng ENG,FW,21-096,0.7,0,0,0,2,5,3,53.3,60,40,,2,4,12,3,1,1,1,61,0.7,0,0,0,0
Dele Alli,eng ENG,MF,26-000,1.9,3,4,0,17,41,20,74.2,78.6,79.3,54.5,8,22,73,44,10,6,0,175,1.9,0,0,0.1,0.3
Lewis Dobbin,eng ENG,"FW,MF",19-098,0.4,0,1,1,4,7,8,57.1,66.7,0,66.7,0,3,7,5,2,3,0,32,0.4,0,0,0,0
Tyler Onyango,eng ENG,"MF,FW",19-038,0.3,1,0,0,6,3,1,0,,0,,0,1,3,1,1,3,0,28,0.3,0,0,0,0
Anwar El Ghazi,nl NED,FW,26-343,0.1,1,0,0,2,3,5,88.9,87.5,,100,0,1,4,10,2,2,0,13,0.1,0,0,0,0
Cenk Tosun,tr TUR,FW,30-308,0.1,0,0,0,0,0,1,100,100,100,,0,0,3,0,0,1,0,7,0.1,0,0,0,0
Moise Kean,it ITA,FW,22-042,0,0,0,0,0,0,0,100,,100,,0,0,2,0,0,1,0,1,0,0,0,0,0
Squad Total,,,27.5,30,316,236,78,1694,2144,1116,72.8,84.7,80.1,49.9,1946,5272,6779,4314,645,30,330,"2,700",30,32,22,33.1,20.4
Opponent Total,,,27.6,30,251,219,73,1547,1764,920,81.3,88.1,88.3,62.4,1977,6634,9762,5177,757,30,330,"2,700",30,48,37,42.5,32.1
